,Recall,Precision,F1-Score
0,0.763225555,1,0.86571517
1,0.755168915,1,0.860508534
2,0.767208099,1,0.868271371
3,0.772274017,1,0.871506336
4,0.759788513,1,0.863499798
5,0.758693695,1,0.862792307
6,0.764331818,1,0.866426383
7,0.782306671,1,0.877858658
8,0.774116516,1,0.872678326
9,0.775730133,1,0.873702731
10,0.751811981,1,0.858324968
11,0.773536682,1,0.872309764
12,0.75075531,1,0.857635908
13,0.772384644,1,0.871576772
14,0.79466629,1,0.885586691
15,0.768184662,1,0.868896421
16,0.777412415,1,0.874768746
17,0.786636353,1,0.880578022
18,0.776329041,1,0.874082473
19,0.803066254,1,0.890778419
