Image,Acc,F1,Jaccard,Recall,Precision
01_dr,0.9761498,0.764566556,0.618865031,0.914054005,0.657101912
01_g,0.972560273,0.786345225,0.647915076,0.908387721,0.693211763
01_h,0.977161394,0.875824497,0.779081642,0.899539072,0.853328181
02_dr,0.976366708,0.804086309,0.672361488,0.908162899,0.721411644
02_g,0.972308814,0.806497478,0.675740071,0.925271614,0.714747628
02_h,0.980869932,0.895896879,0.811425003,0.93272577,0.861865906
03_dr,0.980501382,0.82555983,0.702939026,0.895699806,0.765607084
03_g,0.980833461,0.816259684,0.689559756,0.876882932,0.763476764
03_h,0.975547067,0.872812229,0.774327269,0.88713442,0.858945134
04_dr,0.981941032,0.826567858,0.704401923,0.906257579,0.759760065
04_g,0.977791001,0.814297637,0.686763949,0.899156387,0.744074856
04_h,0.976051904,0.867004946,0.765232773,0.934592756,0.808533482
05_dr,0.969018735,0.760285163,0.61327423,0.951947038,0.632866009
05_g,0.978631757,0.826750086,0.704666649,0.920626668,0.750247154
05_h,0.981639665,0.886902439,0.796787695,0.898902258,0.875218781
06_dr,0.965859183,0.758421167,0.610852204,0.864418849,0.675579538
06_g,0.976568259,0.819404376,0.69406015,0.919819311,0.738755802
06_h,0.979869856,0.890021499,0.8018367,0.919081655,0.862742706
07_dr,0.972456619,0.815908654,0.689058877,0.918035627,0.734229242
07_g,0.977234337,0.810343173,0.681157083,0.902764911,0.735087618
07_h,0.9816627,0.8867551,0.796549888,0.912110423,0.862771332
08_dr,0.971335611,0.793140229,0.657193361,0.857870606,0.737492916
08_g,0.976836993,0.815610531,0.688633725,0.920212399,0.7323619
08_h,0.979816109,0.888827802,0.799901045,0.908686065,0.869818934
09_dr,0.977372543,0.80112697,0.668233374,0.79022166,0.812337485
09_g,0.97693105,0.807638133,0.677343142,0.889472571,0.739593105
09_h,0.981944871,0.867700011,0.766316365,0.883456493,0.852495716
10_dr,0.965321714,0.79750269,0.663205384,0.907456062,0.711315058
10_g,0.975489481,0.794138037,0.658564629,0.876476868,0.725940991
10_h,0.981157862,0.879279811,0.784566763,0.920391349,0.841683933
11_dr,0.967360258,0.804141998,0.672439367,0.93506737,0.70537717
11_g,0.974932816,0.823577093,0.700068902,0.912714097,0.750301538
11_h,0.977242015,0.871671646,0.772533671,0.933487887,0.817533957
12_dr,0.976174754,0.785748809,0.647105652,0.777242769,0.794443087
12_g,0.972068873,0.815569667,0.688575464,0.890774683,0.752074616
12_h,0.979597282,0.896222454,0.81195931,0.938395796,0.857676783
13_dr,0.970410396,0.679315151,0.514365824,0.543201251,0.906451255
13_g,0.973516201,0.745268911,0.593967039,0.691080294,0.80867858
13_h,0.976025031,0.833883066,0.715093866,0.781244549,0.894127378
14_dr,0.96866938,0.720790995,0.563466167,0.632805695,0.837194516
14_g,0.970761671,0.728262033,0.572651011,0.665894558,0.803519408
14_h,0.974030636,0.818068125,0.692144905,0.757263425,0.889489999
15_dr,0.972278102,0.750172986,0.600221453,0.748283121,0.752072422
15_g,0.971590909,0.763857421,0.61793634,0.745956558,0.782638548
15_h,0.9708039,0.74170431,0.589451522,0.606762802,0.953832715
Mean,0.975667129,0.818523689,0.695837749,0.869261623,0.783558832
